sample_id,true_label,predicted_label,ai_probability,raw_label,raw_score,correct
0,1,1,0.9971914887428284,ChatGPT,0.9971914887428284,True
1,1,0,0.00039762258529663086,Human,0.9996023774147034,False
2,1,0,0.0002841353416442871,Human,0.9997158646583557,False
3,1,0,0.00028139352798461914,Human,0.9997186064720154,False
4,1,0,0.00028961896896362305,Human,0.9997103810310364,False
5,1,0,0.00030028820037841797,Human,0.9996997117996216,False
6,1,0,0.0002964138984680176,Human,0.999703586101532,False
7,1,0,0.0002797245979309082,Human,0.9997202754020691,False
8,1,0,0.00029921531677246094,Human,0.9997007846832275,False
9,1,0,0.00029402971267700195,Human,0.999705970287323,False
10,1,0,0.0002738833427429199,Human,0.9997261166572571,False
11,1,0,0.00028008222579956055,Human,0.9997199177742004,False
12,1,0,0.00029200315475463867,Human,0.9997079968452454,False
13,1,0,0.00027745962142944336,Human,0.9997225403785706,False
14,1,0,0.00027877092361450195,Human,0.9997212290763855,False
15,1,0,0.0002689957618713379,Human,0.9997310042381287,False
16,1,0,0.000268399715423584,Human,0.9997316002845764,False
17,1,0,0.0007003545761108398,Human,0.9992996454238892,False
18,1,0,0.00026673078536987305,Human,0.9997332692146301,False
19,1,0,0.00027757883071899414,Human,0.999722421169281,False
20,1,0,0.00028711557388305664,Human,0.9997128844261169,False
21,1,0,0.0002703070640563965,Human,0.9997296929359436,False
22,1,0,0.0002703070640563965,Human,0.9997296929359436,False
23,1,0,0.0002657771110534668,Human,0.9997342228889465,False
24,1,0,0.0003236532211303711,Human,0.9996763467788696,False
25,1,0,0.00026684999465942383,Human,0.9997331500053406,False
26,1,0,0.00026684999465942383,Human,0.9997331500053406,False
27,1,0,0.0002695918083190918,Human,0.9997304081916809,False
28,1,0,0.00026935338973999023,Human,0.99973064661026,False
29,1,0,0.00026553869247436523,Human,0.9997344613075256,False
30,1,0,0.0002697110176086426,Human,0.9997302889823914,False
31,1,0,0.00027114152908325195,Human,0.9997288584709167,False
32,1,0,0.00026911497116088867,Human,0.9997308850288391,False
33,1,0,0.0002726912498474121,Human,0.9997273087501526,False
34,1,0,0.00026875734329223633,Human,0.9997312426567078,False
35,1,0,0.00026148557662963867,Human,0.9997385144233704,False
36,1,0,0.0002695918083190918,Human,0.9997304081916809,False
37,1,0,0.00026851892471313477,Human,0.9997314810752869,False
38,1,0,0.0002713799476623535,Human,0.9997286200523376,False
39,1,0,0.0002728104591369629,Human,0.999727189540863,False
40,1,0,0.00027292966842651367,Human,0.9997270703315735,False
41,1,0,0.0002669692039489746,Human,0.999733030796051,False
42,1,0,0.00026673078536987305,Human,0.9997332692146301,False
43,1,0,0.00026553869247436523,Human,0.9997344613075256,False
44,1,0,0.00026553869247436523,Human,0.9997344613075256,False
45,1,0,0.00027817487716674805,Human,0.9997218251228333,False
46,1,0,0.00027126073837280273,Human,0.9997287392616272,False
47,1,0,0.00026613473892211914,Human,0.9997338652610779,False
48,1,0,0.00026494264602661133,Human,0.9997350573539734,False
49,1,0,0.0073462724685668945,Human,0.9926537275314331,False
50,1,1,0.9985912442207336,ChatGPT,0.9985912442207336,True
51,1,1,0.9800232648849487,ChatGPT,0.9800232648849487,True
52,1,0,0.0003293752670288086,Human,0.9996706247329712,False
53,1,0,0.05875205993652344,Human,0.9412479400634766,False
54,1,0,0.30663353204727173,Human,0.6933664679527283,False
55,1,1,0.9762300252914429,ChatGPT,0.9762300252914429,True
56,1,0,0.0003415346145629883,Human,0.999658465385437,False
57,1,0,0.00037348270416259766,Human,0.9996265172958374,False
58,1,0,0.024112701416015625,Human,0.9758872985839844,False
59,1,1,0.9844798445701599,ChatGPT,0.9844798445701599,True
60,1,0,0.19685733318328857,Human,0.8031426668167114,False
61,1,0,0.27359849214553833,Human,0.7264015078544617,False
62,1,1,0.9277619123458862,ChatGPT,0.9277619123458862,True
63,1,1,0.8738471865653992,ChatGPT,0.8738471865653992,True
64,1,1,0.9607194066047668,ChatGPT,0.9607194066047668,True
65,1,0,0.10711181163787842,Human,0.8928881883621216,False
66,1,0,0.17575162649154663,Human,0.8242483735084534,False
67,1,1,0.956604540348053,ChatGPT,0.956604540348053,True
68,1,1,0.9311695694923401,ChatGPT,0.9311695694923401,True
69,1,1,0.6679941415786743,ChatGPT,0.6679941415786743,True
70,1,1,0.9715021252632141,ChatGPT,0.9715021252632141,True
71,1,0,0.04633140563964844,Human,0.9536685943603516,False
72,1,0,0.4011101722717285,Human,0.5988898277282715,False
